Course Number,Course Title,Formerly Known,Last Approved Date,Last Edit Date,Long Course Title,Short Course Title,Effective Term,Equivalent Courses,Course Syllabus Links,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Comments,Reviewer Comments,Status Head
AH 2001W,Special Topics,,06/14/19 4:09 am,01/17/20 2:52 pm,Special Topics,Special Topics,,,['https://next.bulletin.gwu.edu/courseadmin/10737/Troutman_Amsterdam_SyllabusDraft2017.docx'],,,,ESIA:Humanities (ESHC),,,,Changes saved but not submitted
AH 2109W,European Art: Early 19th Cent,,10/19/15 4:35 am,12/12/14 1:58 pm,European Art: Early 19th Cent,European Art: Early 19th Cent,201501,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
AH 2110W,European Art: Late 19th Cent,,10/14/15 4:13 am,12/12/14 1:58 pm,European Art: Late 19th Cent,European Art: Late 19th Cent,201501,,[],,,,,,,,Course Deactivation Proposal
AH 2117W,Medieval Art I,,02/06/15 4:22 am,12/12/14 2:00 pm,Medieval Art I,Medieval Art I,201501,,[],,,,,,,,Course Deactivation Proposal
AH 2132W,NorthrnEurArt&Arch/17th Cent,,05/29/14 4:37 am,05/27/14 12:54 pm,NorthrnEurArt&Arch/17th Cent,NorthrnEurArt&Arch/17th Cent,Summer 2014,,[],,,,ESIA: European and Eurasia concentration (ERCC),,,,Course Deactivation Proposal
AH 2135W,Span&PortArt:17thru18thCent,,02/06/15 4:22 am,12/12/14 2:06 pm,Span&PortArt:17thru18thCent,Span&PortArt:17thru18thCent,201501,,[],,,,ESIA: European and Eurasia concentration (ERCC),,,,Course Deactivation Proposal
AH 2141W,European Art ofthe Early 19thC,,05/26/14 4:36 am,05/21/14 1:46 pm,European Art ofthe Early 19thC,European Art ofthe Early 19thC,Summer 2014,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
AH 2142W,European Art of Late 19th Cent,,05/26/14 4:36 am,05/21/14 1:46 pm,European Art of Late 19th Cent,European Art of Late 19th Cent,Summer 2014,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
AH 2143W,European Art: Early 20th Cent,,02/06/15 4:20 am,12/12/14 2:07 pm,European Art: Early 20th Cent,European Art: Early 20th Cent,201501,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
AH 2146W,Mod Arch Eur & Amer 1750-2000,,02/06/15 4:24 am,12/12/14 1:57 pm,Mod Arch Eur & Amer 1750-2000,Mod Arch Eur & Amer 1750-2000,201501,,[],,,,ESIA: Humanities (ESHC),,,,Course Deactivation Proposal
AH 2162W,History of Photography,,04/13/17 11:16 am,04/08/17 11:11 pm,History of Photography,History of Photography,Fall 2017,,"['https://next.bulletin.gwu.edu/courseadmin/137/history_of_photo_wid_sample_syllabus.docx', 'https://next.bulletin.gwu.edu/courseadmin/137/gpac_checklist_AH2162W.pdf', 'https://next.bulletin.gwu.edu/courseadmin/137/AH2162W_rubric.xlsx']",,CCAS G-PAC: Arts (CAA),,ESIA: Humanities (ESHC),,"Requesting designation as Arts GPAC

Approved for Arts GPAC by the GPAC Committee on 3-8-17 - CG","candaceg (11/10/16 9:57 am): Rollback: Please complete the attached g-pac checklist and resubmit.
candaceg (03/01/17 11:13 am): Rollback: Hello Andrea, please fill out the attached GPAC checklist if you are requesting GPAC attributes for this course.
Cheryl Beil (cbeil) (04/08/17 11:11 pm): edit",
CAH 3114W,Art of the Book in the Medieval Muslim World,AH 3114W,06/14/19 4:12 am,05/29/21 9:54 am,Art of the Book in the Medieval Muslim World,Islamic Art of the Book,Fall 2020,"IAFF 3190 - Special Topics in International Affairs
IAFF 6118 - Special Topics in International Affairs","['https://next.bulletin.gwu.edu/courseadmin/11928/WID%20Course%20Proposal%20Form%20(Updated%202018).docx', 'https://next.bulletin.gwu.edu/courseadmin/11928/CAH%203114W-%20Islamic%20Art%20of%20the%20Book%20WID%20Syllabus_edited_7-10.docx', 'https://next.bulletin.gwu.edu/courseadmin/11928/CAH%203114W-%20Islamic%20Art%20of%20the%20Book%20WID%20Syllabus_2020_11_11.docx']",,,,ESIA: Humanities (ESHC),Corcoran UG Arts and Design (CSAD),"Syllabus has been updated to reflect 14-week schedule with 15th week as final exam.

The Humanities designation has been removed. I believe that was indicated erroneously as the course is not being submitted as GPAC at this time.","Phil Troutman (trout) (04/27/20 4:19 pm): Reviewed; meets all WID criteria explicitly.
Susan DeCicco (susandecicco) (04/28/20 3:19 pm): Rollback: Hello. With regards to the syllabus: The semester schedule should list a total of 15 weeks; 14 weeks of lecture and 1 week for the final. Thank you.
Susan DeCicco (susandecicco) (07/10/20 3:08 pm): Rollback: Hello. The Humanities attribute listed in the proposal will need to be submitted for review and approval by the GPAC Committee and included in the syllabus. Thank you- Susan
Susan Sterner (ssterner) (11/11/20 12:24 pm): Rollback: Hi Andy -- Please see the email about ESIA Humanitioes documentation. Thank you, Susan",Changes saved but not submitted
AH 3122W,Topics in Early Northern Renaissance Art and Architecture,,,,Topics in Early Northern Renaissance Art and Architecture,EarlyNorthrnRenaissArt&Arch,,,[],,,,,,,,
AH 3123W,Topics in Northern Renaissance Art and Architecture,,,,Topics in Northern Renaissance Art and Architecture,Topics in N. Renaiss. Art&Arch,,,[],,,,,,,,
AH 3134W,Topics in Spanish and Portuguese Art through the Sixteenth Century,,11/06/17 4:03 am,11/02/17 11:21 am,Topics in Spanish and Portuguese Art through the Sixteenth Century,Spanish & Port Art 16th Cent,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/8642/von%20Barghahn%203134.docx'],,,,,,,,
AH 3141W,European Art of the Early Nineteenth Century,,07/04/17 4:04 am,01/23/20 12:58 pm,European Art of the Early Nineteenth Century,EuropeanArt of the Early 19thC,,,['https://next.bulletin.gwu.edu/courseadmin/163/blank.pdf'],,,,,,,,Changes saved but not submitted
CAH 3142,European Art of the Late Nineteenth Century,,11/21/20 4:06 am,09/25/20 11:05 am,European Art of the Late Nineteenth Century,EuropeanArt-Late19thCen,Spring 2021,,['https://next.bulletin.gwu.edu/courseadmin/11427/CAH%203142%20European%20Art%20of%20the%20Late%2019th%20Century.doc'],,,,,,,,
AH 3143W,Early Twentieth-Century Art,,08/28/20 4:12 am,09/09/20 11:54 am,Early Twentieth-Century Art,Erly Twentieth-Century Art,,"CAH 3143W - Early Twentieth-Century Art
CAH 3143 - Early Twentieth-Century Art",['https://next.bulletin.gwu.edu/courseadmin/9783/CAH%203143W%20Revised%20Sept%202020.docx'],,,,ESIA: European and Eurasia concentration (ERCC),,"W/ Prof. Obler's permission, attaching her revised syllabus (approved for WID).",,Changes saved but not submitted
AH 3146W,Modern Architecture in Europe and America,,,,Modern Architecture in Europe and America,Mod Arch Eur & Amer 1750-2000,,,[],,,,,,,,
AH 3165W,Later Twentieth-Century Art,,06/25/19 4:04 am,01/16/20 12:55 pm,Later Twentieth-Century Art,Later Twentieth-Century Art,,,['https://next.bulletin.gwu.edu/courseadmin/10158/ah3165w_sample.docx'],,,,,,Re-formatted learning objectives.,,Changes saved but not submitted
AH 3182W,Special Topics in South Asian Art,,05/01/17 4:01 am,04/27/17 9:58 am,Special Topics in South Asian Art,Topics in South Asian Art,Fall 2017,AH 3182 - Special Topics in South Asian Art,"['https://next.bulletin.gwu.edu/courseadmin/10609/WID_Indian%20Painting_AH3182_CRMS%20Jan%202017%20update.docx', 'https://next.bulletin.gwu.edu/courseadmin/10609/WID_Indian%20Painting_AH3182_CRMS%20Jan%202017%20update_with%20SHORT%20DESCRIPTION.docx']",,CCAS G-PAC: Arts (CAA),,,,,,
AH 4150W,Seminar in Modern Art,,04/13/17 11:13 am,04/07/17 12:21 pm,Seminar in Modern Art,Seminar in Modern Art,Fall 2017,,['https://next.bulletin.gwu.edu/courseadmin/10583/AH4150W_sample_syllabus_updated2017.docx'],,,,ESIA: Humanities (ESHC),,,candaceg (03/15/17 2:25 pm): Rollback: Please shorten your course description to 1-2 sentences (on syllabus) and list prerequisites (if any).,
AH 4159W,Seminar in American Art and Architecture,,07/31/19 4:08 am,01/23/20 1:16 pm,Seminar in American Art and Architecture,Seminar: American Art/Architec,,AH 4159 - Seminar in American Art and Architecture,['https://next.bulletin.gwu.edu/courseadmin/179/blank%20page.docx'],,,,ESIA: Humanities (ESHC),,,,Changes saved but not submitted
AMST 1160,"Race, Gender, and Law",,10/12/18 4:07 am,10/09/18 4:53 pm,"Race, Gender, and Law","Race, Gender, and Law",Spring 2019,,['https://next.bulletin.gwu.edu/courseadmin/226/American%20Studies%201160_SP19version.pdf'],University general education: Critical analysis in the humanities (CAH),,,,,Course is already approved for GPAC (last offered Fall 2014): Humanities (Critical Thinking). Only change requested is to offer discussion sections instead of recitations.,,
AMST 2020W,"Washington, DC: History, Culture, and Politics",,01/09/20 4:07 am,11/06/19 10:01 am,"Washington, DC: History, Culture, and Politics","Wash DC:Hist,Culture,Politics",Spring 2020,,['https://next.bulletin.gwu.edu/courseadmin/230/Blank.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Local/Civil engagement (CLCE),,,,,,
AMST 2120W,Freedom in American Thought and Popular Culture,AMST 2120 / PSC 2120 / PSC 2120W,10/04/19 4:03 am,01/24/20 10:54 am,Freedom in American Thought and Popular Culture,Freedom in Am. Thought/PopCult,,"AMST 2120 - Freedom in American Thought and Popular Culture
PSC 2120 - Freedom in American Thought and Popular Culture
PSC 2120W - Freedom in American Thought and Popular Culture",['https://next.bulletin.gwu.edu/courseadmin/233/Blank.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,Changes saved but not submitted
AMST 2385W,Sex and Citizenship,,04/12/18 4:04 am,01/22/20 9:51 am,Sex and Citizenship,Sex and Citizenship,,,['https://next.bulletin.gwu.edu/courseadmin/11095/AMST%202385W%20-%20Sex%20and%20Citizenship%20-%20Chad%20Heap%20Spring%202018.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,Changes saved but not submitted
AMST 2410,Modern U.S. Immigration,,05/27/22 4:06 am,04/29/22 5:24 pm,Modern U.S. Immigration,Modern U.S. Immigration,Summer 2022,,['https://next.bulletin.gwu.edu/courseadmin/242/AMST-HIST%202410-80W_WIDproposal_Dec19.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,,,
AMST 2440W,The American City,,04/06/18 4:04 am,02/18/18 2:01 pm,The American City,The American City,Fall 2018,"HIST 2440 - The American City
AMST 2440 - The American City
HIST 2440W - The American City","['https://next.bulletin.gwu.edu/courseadmin/11094/AMST-HIST%202440W_Osman_Checklist.pdf', 'https://next.bulletin.gwu.edu/courseadmin/11094/AMST-HIST%202440W_Osman.pdf']",University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,,,"Approved for GPAC Humanities: Critical Thinking and GPAC: Global Cross Cultural, as well as WID.","Gil Huerta (ghuerta) (01/10/18 10:48 am): Course approved under Suleiman Osman's syllabus for Spring 2018 by Gordon Mantler, WID Director, on 12/5/17. Future iterations taught under new faculty should have their syllabi submitted to WID for review.
candaceg (01/16/18 2:10 pm): Rollback: Please change the UCC statement to the mental health statement. Additionally, please upload a GPAC proposal, GPAC checklist attached.
candaceg (02/13/18 9:08 pm): approved for CAH and CGCC by the gpac committee for the fa18 semester. cross-listed with HIST 2440W (also approved for CAH and CGCC)",
HIST 2490W,Themes in U.S. Cultural History,,01/06/24 4:03 am,12/13/23 5:05 pm,Themes in U.S. Cultural History,Themes in US Cultural History,Fall 2023,,['https://next.bulletin.gwu.edu/courseadmin/8884/blank.pdf'],University general education: Critical analysis in the humanities (CAH),CCAS G-PAC: Global/Cross cultural perspective (CGCC),,ESIA: Contemporary cultures and societies concentration (EFCC),,,,
